committee_name,donor_name,amount,date,candidate_name,race_name
Grand Canyon Progress PAC,Horizon Media Group,65684.12,2020-05-21,Benjamin Thompson,Governor
Desert Sunrise Action,Blue Sky Developers,19467.25,2022-08-01,Michael Clark,State House District 7
Clean Government Project,Desert Tech Partners,100904.9,2022-08-31,Liam Garcia,State House District 7
Arizona Workers Alliance,Sunrise Ventures LLC,141601.84,2023-01-06,Evelyn Garcia,Secretary of State
Arizona Workers Alliance,Copper Ridge Holdings,102530.35,2021-04-13,Jacob Rodriguez,Governor
Protect Arizona Values PAC,Southwest AgriFund,141238.56,2021-03-29,Jacob Harris,Tucson City Council District 1
Arizona Workers Alliance,Blue Sky Developers,126834.53,2022-01-26,Michael Walker,US House District 1
Arizona Future Coalition,Saguaro Capital,11761.89,2022-11-18,Lucas Hall,State House District 20
Vote Integrity Fund,Valley Healthcare Group,95479.43,2023-05-05,Logan Anderson,State Treasurer
Desert Sunrise Action,Mesa Community Trust,60924.92,2022-12-03,Liam Brown,Secretary of State
Neighbors for Better Government,Valley Healthcare Group,140542.57,2024-11-10,Mason Robinson,State House District 20
Neighbors for Better Government,Blue Sky Developers,134161.76,2020-09-13,Amelia White,Secretary of State
Bold Arizona Voices,Sunrise Ventures LLC,142841.12,2021-12-01,Mia Martinez,Governor
Vote Integrity Fund,Red Rock Philanthropy,131725.65,2021-08-30,Olivia Walker,Tucson City Council District 1
Clean Government Project,Canyon Ridge Investments,64053.53,2025-04-12,Ava Hall,US House District 2
Keep AZ Moving Committee,Blue Sky Developers,57965.71,2025-02-22,Mason Lee,Maricopa County Supervisor District 2
Arizona Future Coalition,Sunrise Ventures LLC,76724.41,2021-07-05,James Smith,Governor
Grand Canyon Progress PAC,Copper Ridge Holdings,95049.77,2020-12-06,Jacob Wilson,Maricopa County Supervisor District 2
Desert Sunrise Action,Desert Orchard LLC,111424.05,2021-02-01,Mason Miller,Secretary of State
Valley Voters Alliance,Gila River Foundation,84398.56,2022-10-16,Elijah Johnson,Pima County Board District 3
Arizona Workers Alliance,Pioneer Energy Group,58259.42,2021-11-02,Noah Walker,State House District 7
Citizens for Fair Elections,Sunrise Ventures LLC,121778.64,2023-08-25,Olivia Clark,State House District 20
Desert Sunrise Action,Sunrise Ventures LLC,96750.64,2024-07-01,Olivia Jackson,Phoenix City Council District 4
Citizens for Fair Elections,Horizon Media Group,142678.0,2024-09-29,Benjamin White,Phoenix City Council District 4
Arizona Workers Alliance,Sunrise Ventures LLC,40812.56,2022-09-07,Ava Robinson,US Senate
Vote Integrity Fund,Copper Ridge Holdings,98828.78,2025-05-09,Evelyn Davis,Tucson City Council District 1
Desert Shores Coalition,Horizon Media Group,3340.61,2025-12-05,Sophia White,State House District 20
Desert Shores Coalition,Desert Tech Partners,122479.66,2023-11-20,Sophia Miller,Attorney General
Citizens for Fair Elections,Pioneer Energy Group,96504.45,2025-07-13,Emily Jackson,State House District 7
Desert Shores Coalition,Copper Ridge Holdings,53294.57,2025-11-25,Emily Thomas,State Treasurer
Neighbors for Better Government,Copper Ridge Holdings,124763.88,2020-07-18,Liam Thomas,Phoenix City Council District 4
Neighbors for Better Government,Blue Sky Developers,6696.9,2022-02-04,Benjamin Miller,Governor
Valley Voters Alliance,Copper Ridge Holdings,114304.57,2020-05-26,Emily Clark,Tucson City Council District 1
Valley Voters Alliance,Mesa Community Trust,46916.5,2020-11-14,Ethan Taylor,Attorney General
Vote Integrity Fund,Blue Sky Developers,126672.44,2022-12-06,Lucas Martinez,Tucson City Council District 1
Sunrise Civic Action Fund,Pioneer Energy Group,55927.34,2022-01-07,Amelia Johnson,US Senate
Vote Integrity Fund,Red Rock Philanthropy,145308.9,2024-12-08,Evelyn Rodriguez,State Treasurer
Desert Shores Coalition,Sunrise Ventures LLC,75836.81,2023-06-25,Emma Lewis,Pima County Board District 3
Vote Integrity Fund,Horizon Media Group,74124.03,2022-12-15,Sophia White,Maricopa County Supervisor District 2
Vote Integrity Fund,Copper Ridge Holdings,67625.32,2023-02-17,Olivia Martinez,US House District 2
Vote Integrity Fund,Southwest AgriFund,115081.99,2024-11-18,Noah Garcia,Tucson City Council District 1
Keep AZ Moving Committee,Mesa Community Trust,149524.89,2020-06-15,Ava Walker,State Senate District 12
Grand Canyon Progress PAC,Desert Tech Partners,96342.46,2022-03-26,James Thomas,Secretary of State
Desert Sunrise Action,Southwest AgriFund,53323.77,2021-06-25,Mia Harris,US Senate
Bold Arizona Voices,Valley Healthcare Group,107499.18,2022-10-11,Mia Johnson,Pima County Board District 3
Clean Government Project,Saguaro Capital,142037.51,2020-08-29,Liam Miller,State House District 7
Sunrise Civic Action Fund,Pioneer Energy Group,64544.74,2024-01-14,Lucas Robinson,State House District 20
Bold Arizona Voices,Pioneer Energy Group,115860.25,2023-08-24,Logan Miller,State House District 20
Arizona Families First,Horizon Media Group,99293.49,2025-07-15,Mason Anderson,State Senate District 12
Grand Canyon Progress PAC,Desert Tech Partners,405.6,2021-03-04,Olivia Martin,Pima County Board District 3
Protect Arizona Values PAC,Copper Ridge Holdings,114442.3,2020-04-15,Benjamin Johnson,State House District 20
Sunrise Civic Action Fund,Gila River Foundation,17572.52,2022-10-17,Noah Smith,Maricopa County Supervisor District 2
Neighbors for Better Government,Valley Healthcare Group,23045.82,2022-09-07,Ava Thompson,State Treasurer
Grand Canyon Progress PAC,Horizon Media Group,1691.96,2020-04-10,Ella Jackson,US Senate
Vote Integrity Fund,Gila River Foundation,78158.24,2023-12-19,James Walker,State Senate District 12
Arizona Families First,Horizon Media Group,84485.4,2025-08-04,Amelia Martinez,State House District 7
Bold Arizona Voices,Pioneer Energy Group,134395.39,2020-07-15,Lucas Anderson,State Senate District 5
Grand Canyon Progress PAC,Desert Tech Partners,111792.22,2024-06-20,Evelyn Taylor,State Treasurer
Desert Sunrise Action,Sunrise Ventures LLC,18989.4,2021-11-22,Abigail Brown,State House District 7
Keep AZ Moving Committee,Desert Orchard LLC,64871.23,2020-03-17,Charlotte Brown,Secretary of State
Valley Voters Alliance,Canyon Ridge Investments,25613.64,2024-04-11,Abigail Johnson,State Treasurer
Citizens for Fair Elections,Desert Orchard LLC,97541.08,2024-08-15,Elijah Thompson,Secretary of State
Valley Voters Alliance,Desert Orchard LLC,135449.94,2025-12-12,Evelyn Brown,State Senate District 12
Vote Integrity Fund,Mesa Community Trust,121293.14,2022-10-21,Benjamin Thompson,State House District 7
Clean Government Project,Blue Sky Developers,100384.15,2025-01-16,Sophia Miller,Pima County Board District 3
Grand Canyon Progress PAC,Mesa Community Trust,79953.18,2021-12-22,Jacob Martinez,US House District 2
Sunrise Civic Action Fund,Saguaro Capital,61740.28,2023-05-29,Benjamin Harris,State Senate District 5
Grand Canyon Progress PAC,Canyon Ridge Investments,127121.88,2024-12-12,Daniel Walker,US House District 2
Bold Arizona Voices,Desert Tech Partners,96981.51,2020-09-10,Ella Lewis,State House District 7
Arizona Future Coalition,Mesa Community Trust,116742.62,2025-03-31,Mia Wilson,State House District 20
Vote Integrity Fund,Canyon Ridge Investments,15926.99,2022-06-11,Amelia Miller,State House District 20
Neighbors for Better Government,Canyon Ridge Investments,2651.63,2021-10-11,Emily Clark,US House District 1
Grand Canyon Progress PAC,Horizon Media Group,73208.49,2023-11-01,Elijah Lewis,Pima County Board District 3
Protect Arizona Values PAC,Southwest AgriFund,108735.69,2020-11-17,Lucas Jackson,US House District 2
Valley Voters Alliance,Sunrise Ventures LLC,113385.23,2024-10-12,Elijah Garcia,State Treasurer
Keep AZ Moving Committee,Pioneer Energy Group,139724.06,2024-08-01,Ava Thompson,Tucson City Council District 1
Citizens for Fair Elections,Sunrise Ventures LLC,131087.2,2025-09-02,Amelia White,Governor
Bold Arizona Voices,Blue Sky Developers,24219.76,2023-06-25,Harper Lee,State House District 20
Protect Arizona Values PAC,Desert Orchard LLC,82966.56,2022-06-14,Ethan Moore,State Senate District 12
Arizona Future Coalition,Southwest AgriFund,95883.02,2020-06-19,Isabella Walker,State Senate District 12
Neighbors for Better Government,Red Rock Philanthropy,93994.52,2020-03-13,Daniel Taylor,State Senate District 5
Desert Sunrise Action,Desert Tech Partners,60060.4,2025-11-28,Evelyn Robinson,Attorney General
Bold Arizona Voices,Horizon Media Group,56707.36,2024-05-16,Daniel Anderson,US House District 2
Vote Integrity Fund,Frontier Manufacturing Co.,149843.27,2023-04-20,Harper Garcia,Governor
Vote Integrity Fund,Saguaro Capital,90851.86,2024-07-14,Liam Brown,State House District 7
Arizona Workers Alliance,Mesa Community Trust,83494.98,2022-07-02,Elijah Lee,US House District 2
Clean Government Project,Sunrise Ventures LLC,3568.39,2020-03-09,Michael Miller,State Senate District 12
Keep AZ Moving Committee,Horizon Media Group,6606.5,2023-04-08,Emma Rodriguez,Pima County Board District 3
Desert Sunrise Action,Saguaro Capital,63868.36,2020-04-03,James Thompson,Tucson City Council District 1
Arizona Families First,Mesa Community Trust,114830.85,2022-07-14,Harper Walker,Governor
Bold Arizona Voices,Desert Tech Partners,10798.29,2025-12-01,Isabella Thomas,Attorney General
Protect Arizona Values PAC,Blue Sky Developers,52222.6,2020-12-22,Daniel Anderson,Phoenix City Council District 4
Arizona Future Coalition,Desert Tech Partners,84120.17,2021-03-18,Ella Martin,US House District 2
Grand Canyon Progress PAC,Red Rock Philanthropy,46307.99,2023-12-04,Ella Walker,State House District 20
Citizens for Fair Elections,Gila River Foundation,79072.58,2021-06-28,Lucas Wilson,State Treasurer
Citizens for Fair Elections,Southwest AgriFund,123954.12,2020-08-31,Jacob Moore,US House District 2
Neighbors for Better Government,Desert Orchard LLC,76377.23,2025-01-05,Liam Harris,State Treasurer
Keep AZ Moving Committee,Southwest AgriFund,5426.33,2023-08-07,Mia Smith,State Senate District 12
Sunrise Civic Action Fund,Desert Orchard LLC,94935.38,2024-04-20,James Lewis,State Senate District 12
Desert Sunrise Action,Copper Ridge Holdings,128829.6,2022-05-05,Mason Jackson,Phoenix City Council District 4
Sunrise Civic Action Fund,Pioneer Energy Group,145821.61,2025-04-16,Isabella Davis,US Senate
Grand Canyon Progress PAC,Sunrise Ventures LLC,124688.51,2022-07-06,Ella Martinez,State Senate District 12
Protect Arizona Values PAC,Blue Sky Developers,106390.25,2023-02-01,Ethan White,State Senate District 12
Arizona Future Coalition,Horizon Media Group,144120.74,2022-12-19,Emily Davis,State Treasurer
Neighbors for Better Government,Desert Tech Partners,51467.88,2024-12-22,Lucas Robinson,State House District 7
Arizona Future Coalition,Valley Healthcare Group,54412.35,2025-07-22,Charlotte Lee,Tucson City Council District 1
Keep AZ Moving Committee,Desert Tech Partners,10480.2,2024-05-20,Ella Jackson,Governor
Citizens for Fair Elections,Sunrise Ventures LLC,114941.97,2024-03-27,Michael Anderson,State House District 20
Grand Canyon Progress PAC,Copper Ridge Holdings,9444.96,2021-09-27,Daniel Johnson,Attorney General
Valley Voters Alliance,Pioneer Energy Group,135762.55,2023-09-13,Harper Miller,Phoenix City Council District 4
Bold Arizona Voices,Blue Sky Developers,67054.84,2022-10-18,Ethan Brown,Phoenix City Council District 4
Neighbors for Better Government,Frontier Manufacturing Co.,71911.5,2023-09-07,James Martin,Maricopa County Supervisor District 2
Grand Canyon Progress PAC,Copper Ridge Holdings,140850.14,2025-04-13,Mason Taylor,US House District 1
Arizona Workers Alliance,Sunrise Ventures LLC,132920.73,2025-01-24,Logan Garcia,State Senate District 5
Grand Canyon Progress PAC,Red Rock Philanthropy,79872.44,2021-10-31,Ava Brown,Attorney General
Desert Shores Coalition,Southwest AgriFund,144625.68,2022-01-10,Abigail White,State Senate District 12
Vote Integrity Fund,Desert Tech Partners,71932.03,2024-05-10,Michael Jackson,Attorney General
Protect Arizona Values PAC,Gila River Foundation,51322.16,2022-11-24,Ella Anderson,State Senate District 12
Citizens for Fair Elections,Desert Tech Partners,95175.79,2025-09-20,Lucas Clark,State Treasurer
Arizona Workers Alliance,Blue Sky Developers,54347.0,2024-01-06,Jacob Harris,US House District 2
Valley Voters Alliance,Desert Tech Partners,94349.91,2021-11-25,Michael Taylor,State House District 7
Protect Arizona Values PAC,Red Rock Philanthropy,65845.62,2023-09-20,Evelyn Anderson,Governor
Grand Canyon Progress PAC,Horizon Media Group,53868.13,2022-04-02,James Jackson,State Senate District 5
Vote Integrity Fund,Red Rock Philanthropy,10442.32,2025-04-02,Emily Smith,State Treasurer
Desert Shores Coalition,Frontier Manufacturing Co.,125264.47,2020-09-12,Jacob Davis,Tucson City Council District 1
Grand Canyon Progress PAC,Southwest AgriFund,49841.42,2021-08-24,Harper Robinson,US House District 2
Clean Government Project,Southwest AgriFund,127730.52,2023-12-17,Charlotte Martinez,Maricopa County Supervisor District 2
Arizona Workers Alliance,Desert Orchard LLC,97802.87,2022-12-27,Mason Anderson,Maricopa County Supervisor District 2
Sunrise Civic Action Fund,Copper Ridge Holdings,103452.83,2025-03-24,Evelyn Rodriguez,US House District 1
Bold Arizona Voices,Desert Orchard LLC,46782.1,2021-12-24,Benjamin Thomas,US House District 2
Arizona Workers Alliance,Canyon Ridge Investments,134575.6,2022-11-29,Olivia Rodriguez,Governor
Clean Government Project,Horizon Media Group,45406.11,2024-10-03,Ella Smith,Maricopa County Supervisor District 2
Arizona Future Coalition,Saguaro Capital,133509.31,2020-07-10,Emily Hall,State House District 7
Arizona Future Coalition,Desert Orchard LLC,133284.64,2022-11-10,Amelia Miller,State House District 20
Neighbors for Better Government,Valley Healthcare Group,66019.64,2025-03-21,Elijah Taylor,State House District 20
Arizona Families First,Sunrise Ventures LLC,68551.55,2025-05-21,Charlotte Robinson,State Senate District 12
Arizona Workers Alliance,Saguaro Capital,18608.44,2024-07-11,Mia White,US Senate
Protect Arizona Values PAC,Sunrise Ventures LLC,56868.35,2025-04-24,James Miller,Tucson City Council District 1
Clean Government Project,Sunrise Ventures LLC,108443.74,2022-03-19,Daniel Thompson,US House District 2
Arizona Families First,Canyon Ridge Investments,147208.44,2020-11-04,Emily Lewis,Governor
Vote Integrity Fund,Desert Orchard LLC,63918.01,2021-05-07,Emma Jackson,Secretary of State
Desert Shores Coalition,Valley Healthcare Group,99234.99,2025-11-11,Daniel Lee,State Senate District 5
Desert Sunrise Action,Blue Sky Developers,72057.92,2024-05-29,Daniel White,Phoenix City Council District 4
Protect Arizona Values PAC,Horizon Media Group,21007.77,2023-07-02,Noah Thompson,Tucson City Council District 1
Keep AZ Moving Committee,Blue Sky Developers,19112.32,2025-07-16,Abigail Davis,Phoenix City Council District 4
Desert Shores Coalition,Red Rock Philanthropy,66134.05,2025-02-10,Benjamin White,Attorney General
Arizona Families First,Pioneer Energy Group,95770.31,2025-10-26,Charlotte Martinez,Secretary of State
Neighbors for Better Government,Blue Sky Developers,21356.23,2025-02-11,Charlotte Rodriguez,State Senate District 12
Arizona Future Coalition,Mesa Community Trust,143501.53,2021-09-11,Elijah Miller,Tucson City Council District 1
Vote Integrity Fund,Saguaro Capital,28568.92,2020-10-14,Ava Rodriguez,Governor
Sunrise Civic Action Fund,Frontier Manufacturing Co.,51332.45,2021-06-10,Mason Anderson,State House District 20
Grand Canyon Progress PAC,Gila River Foundation,144619.57,2023-11-17,Ella Garcia,Secretary of State
Bold Arizona Voices,Mesa Community Trust,142307.6,2021-04-08,Elijah Davis,Maricopa County Supervisor District 2
Clean Government Project,Blue Sky Developers,14038.82,2020-01-08,Noah Harris,State Senate District 12
Keep AZ Moving Committee,Southwest AgriFund,70955.01,2024-10-16,Ethan Harris,Governor
Neighbors for Better Government,Blue Sky Developers,14804.38,2024-05-21,Emma Miller,US House District 2
Bold Arizona Voices,Southwest AgriFund,83142.12,2022-03-02,Mia Wilson,State Senate District 5
Desert Shores Coalition,Horizon Media Group,48528.48,2020-02-03,Elijah Moore,State Senate District 5
Clean Government Project,Desert Tech Partners,104231.18,2021-12-17,Mason Wilson,State Senate District 12
Clean Government Project,Desert Orchard LLC,24284.32,2023-05-13,Liam Garcia,US Senate
Desert Sunrise Action,Pioneer Energy Group,10584.26,2024-01-07,Mia Rodriguez,State House District 20
Clean Government Project,Blue Sky Developers,70816.09,2022-08-10,Ella Harris,State Treasurer
Arizona Families First,Desert Orchard LLC,54216.23,2025-12-22,James Smith,State Treasurer
Neighbors for Better Government,Desert Orchard LLC,29627.46,2020-06-17,Logan Robinson,US House District 1
Arizona Families First,Horizon Media Group,46165.78,2024-05-09,Sophia Thomas,State Senate District 5
Arizona Workers Alliance,Horizon Media Group,131249.91,2025-09-21,Sophia Jackson,Secretary of State
Arizona Future Coalition,Red Rock Philanthropy,75207.72,2022-08-21,Mason White,State Treasurer
Desert Shores Coalition,Red Rock Philanthropy,46957.25,2023-06-21,Lucas Lee,Secretary of State
Bold Arizona Voices,Blue Sky Developers,99339.18,2022-03-05,Emma Smith,Maricopa County Supervisor District 2
Arizona Workers Alliance,Valley Healthcare Group,114263.32,2021-07-25,Ethan Harris,State Treasurer
Neighbors for Better Government,Copper Ridge Holdings,41394.39,2023-04-21,Emily Smith,State House District 7
Protect Arizona Values PAC,Blue Sky Developers,13664.59,2021-12-17,Olivia Martinez,Pima County Board District 3
Grand Canyon Progress PAC,Gila River Foundation,114241.58,2023-10-29,Sophia Lewis,State Senate District 5
Citizens for Fair Elections,Pioneer Energy Group,81338.89,2021-11-25,Michael Martin,Pima County Board District 3
Citizens for Fair Elections,Blue Sky Developers,75520.26,2021-07-04,Daniel Miller,Pima County Board District 3
Clean Government Project,Sunrise Ventures LLC,32525.7,2021-09-10,Olivia Smith,US Senate
Desert Sunrise Action,Blue Sky Developers,88231.6,2020-06-16,Harper Miller,Pima County Board District 3
Arizona Families First,Mesa Community Trust,142606.93,2024-02-14,Ava Lee,Attorney General
Vote Integrity Fund,Mesa Community Trust,12024.18,2020-09-06,James White,State Senate District 5
Desert Sunrise Action,Red Rock Philanthropy,142515.6,2020-06-05,Harper Johnson,State House District 7
Grand Canyon Progress PAC,Desert Orchard LLC,129698.71,2023-08-31,Ava Smith,Secretary of State
Neighbors for Better Government,Desert Orchard LLC,2787.54,2022-04-01,Ethan Thompson,State Senate District 5
Arizona Families First,Southwest AgriFund,137668.65,2024-09-01,Isabella Miller,Secretary of State
Citizens for Fair Elections,Horizon Media Group,29605.46,2021-02-23,James Anderson,State Senate District 12
Desert Sunrise Action,Horizon Media Group,40093.15,2023-09-23,Emma Moore,US Senate
Vote Integrity Fund,Red Rock Philanthropy,93591.39,2020-12-01,Abigail Lewis,Tucson City Council District 1
Arizona Workers Alliance,Red Rock Philanthropy,145318.71,2024-04-01,Jacob Hall,State House District 20
Clean Government Project,Horizon Media Group,90439.57,2020-09-29,Michael Johnson,Pima County Board District 3
Sunrise Civic Action Fund,Pioneer Energy Group,96605.47,2023-07-22,Noah Martin,State Senate District 5
Desert Sunrise Action,Blue Sky Developers,146745.96,2023-05-24,Ava Moore,US House District 1
Arizona Future Coalition,Red Rock Philanthropy,135181.06,2020-04-21,Amelia Smith,US House District 2
Bold Arizona Voices,Horizon Media Group,2285.43,2020-12-02,Ethan Thompson,US Senate
Valley Voters Alliance,Horizon Media Group,148506.84,2024-09-01,Michael Miller,Secretary of State
Citizens for Fair Elections,Blue Sky Developers,91367.77,2024-01-30,Lucas Miller,State House District 7
Neighbors for Better Government,Southwest AgriFund,134255.21,2025-07-11,Abigail Anderson,US House District 2
Sunrise Civic Action Fund,Valley Healthcare Group,62254.46,2021-04-22,Ava Clark,Governor
Valley Voters Alliance,Desert Tech Partners,147673.86,2020-04-28,Sophia Lewis,State Senate District 12
Valley Voters Alliance,Desert Tech Partners,144793.46,2021-12-08,Ella Moore,US House District 1
Bold Arizona Voices,Canyon Ridge Investments,111378.71,2020-03-12,Benjamin Robinson,Phoenix City Council District 4
Clean Government Project,Frontier Manufacturing Co.,6720.98,2024-08-13,Jacob Martin,State Senate District 5
Grand Canyon Progress PAC,Saguaro Capital,48574.85,2021-02-02,Emily Thomas,Attorney General
Neighbors for Better Government,Pioneer Energy Group,24656.77,2023-03-04,Daniel Miller,Pima County Board District 3
Citizens for Fair Elections,Southwest AgriFund,133921.84,2023-03-30,Ella Lewis,State Senate District 12
Arizona Families First,Sunrise Ventures LLC,30926.54,2022-03-26,Abigail Clark,Attorney General
Vote Integrity Fund,Sunrise Ventures LLC,77085.67,2020-10-28,Ava Wilson,Phoenix City Council District 4
Desert Sunrise Action,Pioneer Energy Group,74767.67,2020-04-18,Ella Jackson,Secretary of State
Vote Integrity Fund,Southwest AgriFund,11107.66,2025-09-09,Logan Brown,Phoenix City Council District 4
Bold Arizona Voices,Southwest AgriFund,127611.57,2024-03-31,Michael Thompson,State Senate District 12
Arizona Future Coalition,Horizon Media Group,104332.18,2022-02-13,Liam Anderson,Tucson City Council District 1
Vote Integrity Fund,Canyon Ridge Investments,5148.29,2025-10-09,Evelyn Smith,US House District 1
Neighbors for Better Government,Red Rock Philanthropy,49152.7,2023-08-21,Evelyn Brown,Maricopa County Supervisor District 2
Keep AZ Moving Committee,Saguaro Capital,107329.41,2020-07-03,Sophia Rodriguez,State Treasurer
Sunrise Civic Action Fund,Gila River Foundation,70856.0,2020-12-04,Sophia Harris,Governor
Protect Arizona Values PAC,Copper Ridge Holdings,61574.72,2023-06-06,Benjamin Robinson,State Senate District 12
Arizona Future Coalition,Mesa Community Trust,68672.71,2025-11-01,Emily Johnson,US House District 2
Keep AZ Moving Committee,Saguaro Capital,146264.43,2023-11-30,Sophia Anderson,US Senate
Desert Sunrise Action,Red Rock Philanthropy,48083.16,2020-10-21,Isabella Smith,US Senate
Arizona Future Coalition,Sunrise Ventures LLC,58096.78,2025-07-17,Emily Walker,US House District 2
Bold Arizona Voices,Copper Ridge Holdings,77327.14,2024-01-05,Liam Anderson,Governor
Grand Canyon Progress PAC,Desert Orchard LLC,127587.05,2021-07-07,Emma Hall,Phoenix City Council District 4
Neighbors for Better Government,Desert Tech Partners,138804.89,2020-02-04,Isabella Thompson,Phoenix City Council District 4
Clean Government Project,Desert Orchard LLC,48972.5,2023-07-27,Lucas Lee,Pima County Board District 3
Valley Voters Alliance,Horizon Media Group,57931.77,2023-08-16,Emily Clark,US House District 2
Clean Government Project,Mesa Community Trust,40522.28,2021-09-28,Noah Anderson,State House District 7
Neighbors for Better Government,Desert Orchard LLC,146631.23,2024-12-29,Emily Hall,State Treasurer
Citizens for Fair Elections,Sunrise Ventures LLC,28815.72,2021-06-13,Liam Rodriguez,Attorney General
Arizona Families First,Mesa Community Trust,16403.81,2024-11-01,Evelyn Anderson,US House District 1
Arizona Families First,Sunrise Ventures LLC,145435.91,2021-10-07,Lucas Thompson,US Senate
Grand Canyon Progress PAC,Frontier Manufacturing Co.,61081.9,2023-11-05,Liam Rodriguez,Tucson City Council District 1
Bold Arizona Voices,Frontier Manufacturing Co.,122051.96,2021-06-23,Michael White,US House District 1
Arizona Families First,Pioneer Energy Group,84645.65,2025-10-15,Ethan Walker,Secretary of State
Arizona Families First,Horizon Media Group,526.45,2020-09-20,Abigail Johnson,Tucson City Council District 1
Protect Arizona Values PAC,Desert Orchard LLC,3683.94,2024-09-15,Mason Walker,US House District 2
Keep AZ Moving Committee,Blue Sky Developers,147265.64,2024-05-17,Amelia Thomas,Secretary of State
Neighbors for Better Government,Gila River Foundation,33404.28,2022-02-26,Mason Davis,Attorney General
Desert Shores Coalition,Saguaro Capital,36316.52,2023-02-27,Emma Taylor,State Senate District 5
Desert Shores Coalition,Horizon Media Group,3638.23,2025-06-16,Elijah Thompson,US House District 1
Grand Canyon Progress PAC,Red Rock Philanthropy,47238.85,2022-03-29,Abigail Johnson,Pima County Board District 3
Arizona Future Coalition,Red Rock Philanthropy,116860.37,2020-02-25,Daniel Clark,Secretary of State
Valley Voters Alliance,Desert Orchard LLC,92310.42,2023-01-12,Logan Smith,Pima County Board District 3
Protect Arizona Values PAC,Saguaro Capital,81624.21,2024-06-15,Noah White,Phoenix City Council District 4
Protect Arizona Values PAC,Mesa Community Trust,13096.21,2025-08-17,James Davis,State House District 20
Keep AZ Moving Committee,Valley Healthcare Group,143025.4,2024-03-06,Lucas Garcia,State House District 20
Vote Integrity Fund,Sunrise Ventures LLC,69220.27,2025-09-15,Logan Hall,Attorney General
Desert Sunrise Action,Southwest AgriFund,51100.89,2021-01-08,Noah Moore,Tucson City Council District 1
Arizona Future Coalition,Canyon Ridge Investments,146206.42,2024-02-16,Logan Walker,Pima County Board District 3
Protect Arizona Values PAC,Blue Sky Developers,94131.15,2021-07-29,Isabella Wilson,State House District 7
Protect Arizona Values PAC,Sunrise Ventures LLC,82865.61,2021-08-02,Sophia Brown,State House District 20
Grand Canyon Progress PAC,Frontier Manufacturing Co.,100582.12,2025-12-30,James Lewis,Maricopa County Supervisor District 2
Citizens for Fair Elections,Red Rock Philanthropy,92678.45,2025-02-22,Ava Brown,US House District 1
Protect Arizona Values PAC,Pioneer Energy Group,98152.26,2022-09-26,Ella Garcia,State Senate District 12
Desert Sunrise Action,Canyon Ridge Investments,93861.72,2025-07-02,Liam Taylor,US House District 1
Arizona Future Coalition,Frontier Manufacturing Co.,43828.72,2024-04-04,Mason Garcia,US Senate
Protect Arizona Values PAC,Desert Orchard LLC,32997.31,2021-07-21,Mason Johnson,State Senate District 12
Grand Canyon Progress PAC,Southwest AgriFund,2527.4,2021-04-08,Mason Smith,US Senate
Sunrise Civic Action Fund,Sunrise Ventures LLC,124967.5,2022-01-27,Ethan Taylor,State Senate District 5
Arizona Families First,Canyon Ridge Investments,71849.83,2020-04-23,Charlotte Lewis,US House District 2
Clean Government Project,Mesa Community Trust,20929.46,2021-06-29,Michael Rodriguez,State Senate District 12
Bold Arizona Voices,Gila River Foundation,19251.16,2020-08-05,Ava Lee,State House District 20
Desert Sunrise Action,Canyon Ridge Investments,93536.77,2025-04-21,Charlotte Jackson,Pima County Board District 3
Vote Integrity Fund,Blue Sky Developers,104450.74,2023-12-10,Harper Harris,Tucson City Council District 1
Desert Shores Coalition,Red Rock Philanthropy,117021.42,2020-11-14,Ethan Lewis,Pima County Board District 3
Arizona Families First,Desert Tech Partners,103726.38,2023-04-02,Ava Harris,State Senate District 12
Vote Integrity Fund,Blue Sky Developers,105161.92,2024-07-08,Charlotte Davis,State House District 7
Sunrise Civic Action Fund,Desert Tech Partners,4186.79,2020-06-13,Ethan Thompson,Pima County Board District 3
Keep AZ Moving Committee,Sunrise Ventures LLC,129571.18,2025-08-06,Emma Rodriguez,Attorney General
Valley Voters Alliance,Copper Ridge Holdings,95340.92,2021-06-08,Ella Moore,Phoenix City Council District 4
Citizens for Fair Elections,Sunrise Ventures LLC,122230.31,2020-02-03,Olivia Martin,US Senate
Desert Sunrise Action,Canyon Ridge Investments,55558.43,2022-07-04,Olivia Walker,US House District 1
Sunrise Civic Action Fund,Red Rock Philanthropy,114652.7,2020-12-17,Olivia Miller,Tucson City Council District 1
Arizona Workers Alliance,Canyon Ridge Investments,61090.68,2020-10-31,Sophia Garcia,US House District 2
Desert Shores Coalition,Pioneer Energy Group,70882.49,2023-06-13,Jacob Lee,Tucson City Council District 1
Bold Arizona Voices,Horizon Media Group,6190.34,2021-04-13,Evelyn Martin,State House District 7
Arizona Families First,Blue Sky Developers,49742.69,2020-10-05,Emily Clark,Maricopa County Supervisor District 2
Arizona Workers Alliance,Sunrise Ventures LLC,81886.61,2025-02-01,Logan Martin,US Senate
Protect Arizona Values PAC,Desert Tech Partners,74334.2,2023-08-11,Liam Miller,Pima County Board District 3
Neighbors for Better Government,Mesa Community Trust,1816.84,2024-07-05,Harper Jackson,Attorney General
Grand Canyon Progress PAC,Valley Healthcare Group,108654.36,2023-05-23,Amelia Davis,US House District 2
Valley Voters Alliance,Frontier Manufacturing Co.,147026.81,2024-03-21,Benjamin Hall,Maricopa County Supervisor District 2
